country,iso2,iso3c,year,SH.DYN.AIDS.ZS,hiv_prev
Angola,AO,AGO,2019,1.6,1.6
Angola,AO,AGO,2018,1.7,1.7
Angola,AO,AGO,2017,1.7,1.7
Angola,AO,AGO,2016,1.8,1.8
Angola,AO,AGO,2015,1.8,1.8
Angola,AO,AGO,2014,1.9,1.9
Angola,AO,AGO,2013,1.9,1.9
Angola,AO,AGO,2012,1.9,1.9
Angola,AO,AGO,2011,1.9,1.9
Angola,AO,AGO,2010,1.9,1.9
Angola,AO,AGO,2009,1.9,1.9
Angola,AO,AGO,2008,1.8,1.8
Angola,AO,AGO,2007,1.8,1.8
Angola,AO,AGO,2006,1.8,1.8
Angola,AO,AGO,2005,1.7,1.7
Angola,AO,AGO,2004,1.6,1.6
Angola,AO,AGO,2003,1.6,1.6
Angola,AO,AGO,2002,1.5,1.5
Angola,AO,AGO,2001,1.4,1.4
Angola,AO,AGO,2000,1.3,1.3
Botswana,BW,BWA,2019,18.7,18.7
Botswana,BW,BWA,2018,19.4,19.4
Botswana,BW,BWA,2017,20,20
Botswana,BW,BWA,2016,20.5,20.5
Botswana,BW,BWA,2015,21,21
Botswana,BW,BWA,2014,21.3,21.3
Botswana,BW,BWA,2013,21.6,21.6
Botswana,BW,BWA,2012,21.9,21.9
Botswana,BW,BWA,2011,22.1,22.1
Botswana,BW,BWA,2010,22.3,22.3
Botswana,BW,BWA,2009,22.5,22.5
Botswana,BW,BWA,2008,22.8,22.8
Botswana,BW,BWA,2007,23,23
Botswana,BW,BWA,2006,23.3,23.3
Botswana,BW,BWA,2005,23.6,23.6
Botswana,BW,BWA,2004,23.9,23.9
Botswana,BW,BWA,2003,24.3,24.3
Botswana,BW,BWA,2002,24.7,24.7
Botswana,BW,BWA,2001,25.1,25.1
Botswana,BW,BWA,2000,25.3,25.3
"Congo, Dem. Rep.",CD,COD,2019,0.7,0.7
"Congo, Dem. Rep.",CD,COD,2018,0.7,0.7
"Congo, Dem. Rep.",CD,COD,2017,0.8,0.8
"Congo, Dem. Rep.",CD,COD,2016,0.8,0.8
"Congo, Dem. Rep.",CD,COD,2015,0.8,0.8
"Congo, Dem. Rep.",CD,COD,2014,0.9,0.9
"Congo, Dem. Rep.",CD,COD,2013,0.9,0.9
"Congo, Dem. Rep.",CD,COD,2012,1,1
"Congo, Dem. Rep.",CD,COD,2011,1,1
"Congo, Dem. Rep.",CD,COD,2010,1.1,1.1
"Congo, Dem. Rep.",CD,COD,2009,1.1,1.1
"Congo, Dem. Rep.",CD,COD,2008,1.2,1.2
"Congo, Dem. Rep.",CD,COD,2007,1.2,1.2
"Congo, Dem. Rep.",CD,COD,2006,1.3,1.3
"Congo, Dem. Rep.",CD,COD,2005,1.4,1.4
"Congo, Dem. Rep.",CD,COD,2004,1.5,1.5
"Congo, Dem. Rep.",CD,COD,2003,1.5,1.5
"Congo, Dem. Rep.",CD,COD,2002,1.6,1.6
"Congo, Dem. Rep.",CD,COD,2001,1.7,1.7
"Congo, Dem. Rep.",CD,COD,2000,1.8,1.8
Lesotho,LS,LSO,2019,21.7,21.7
Lesotho,LS,LSO,2018,22.4,22.4
Lesotho,LS,LSO,2017,23.1,23.1
Lesotho,LS,LSO,2016,23.7,23.7
Lesotho,LS,LSO,2015,24.1,24.1
Lesotho,LS,LSO,2014,24.4,24.4
Lesotho,LS,LSO,2013,24.6,24.6
Lesotho,LS,LSO,2012,24.6,24.6
Lesotho,LS,LSO,2011,24.5,24.5
Lesotho,LS,LSO,2010,24.4,24.4
Lesotho,LS,LSO,2009,24.2,24.2
Lesotho,LS,LSO,2008,23.9,23.9
Lesotho,LS,LSO,2007,23.5,23.5
Lesotho,LS,LSO,2006,23.3,23.3
Lesotho,LS,LSO,2005,23.1,23.1
Lesotho,LS,LSO,2004,23,23
Lesotho,LS,LSO,2003,22.9,22.9
Lesotho,LS,LSO,2002,22.7,22.7
Lesotho,LS,LSO,2001,22.3,22.3
Lesotho,LS,LSO,2000,21.8,21.8
Madagascar,MG,MDG,2019,0.3,0.3
Madagascar,MG,MDG,2018,0.3,0.3
Madagascar,MG,MDG,2017,0.3,0.3
Madagascar,MG,MDG,2016,0.3,0.3
Madagascar,MG,MDG,2015,0.2,0.2
Madagascar,MG,MDG,2014,0.2,0.2
Madagascar,MG,MDG,2013,0.2,0.2
Madagascar,MG,MDG,2012,0.2,0.2
Madagascar,MG,MDG,2011,0.2,0.2
Madagascar,MG,MDG,2010,0.1,0.1
Madagascar,MG,MDG,2009,0.1,0.1
